"","id","maxsumpart.2","meansumpart.2","sdsumpart.2","part.date","part.x","part.y","name","year","windowstart","windowend","comment","monthstart","monthend"
"1","B04-2020",0.958333333333333,0.105042016806723,0.202676741930896,2020-05-26 09:00:00,596318,5672166,"B04",2020,2020-05-25,2020-06-03,"Confirmed June 3, 2020 - lamb less than a week old",2020-05-14,2020-06-13
"2","B05-2020",0.916666666666667,0.043115438108484,0.166449855621313,2020-05-20 11:00:00,596283,5671762,"B05",2020,2020-05-15,2020-06-03,"Confirmed June 8, 2020 - lamb less than a week old ",2020-05-09,2020-06-08
"3","B05-2022",0.875,0.0464646464646465,0.164356847226632,2022-05-19 22:00:00,596356,5672618.32,"B05",2022,2022-05-16,2022-05-27,"Collar removed partway through season. ",2022-05-06,2022-06-05
"4","B08-2020",0.5,0.0166435506241331,0.0754832645712844,2020-06-04 13:00:00,593917,5676040,"B08",2020,2020-05-25,2020-06-10,"Confirmed August 12, 2020 - lamb 1+ month old, suspected birth location (high level of confidence): south slopes of Mount Brewster (I will get you the suspected lambing cluster dates )",2020-05-18,2020-06-17
"5","B09-2020",0.833333333333333,0.0460431654676259,0.145625902068959,2020-06-03 23:00:00,595216,5672258,"B09",2020,2020-05-28,2020-06-12,"Confirmed August 8, 2020 - lamb 1+ month old, suspected birth location (high level of confidence): west slopes of Mount Norquay (I will get you the suspected lambing cluster dates) ",2020-05-20,2020-06-19
"6","B16-2021",0.958333333333333,0.0793871866295265,0.196887832074999,2021-06-13 09:00:00,593965,5676663,"B16",2021,2021-06-07,2021-06-18,"Lamb estimate at <1 week old confirmed June 18, 2022: location Mount Brewster.",2021-05-28,2021-06-27
"7","B16-2022",0.666666666666667,0.0254178272980501,0.104602271427108,2022-05-31 04:00:00,597094.46,5684959.31,"B16",2022,NA,NA,"had a lamb",NA,NA
"8","B17-2022",0.833333333333333,0.0542420027816412,0.173222304372809,2022-05-22 04:00:00,596647.61,5672002.88,"B17",2022,2022-05-16,2022-05-30,"",2022-05-08,2022-06-07
"9","B19-2021",1,0.104456824512535,0.261574727177012,2021-06-11 17:00:00,595872,5671973,"B19",2021,2021-06-03,2021-06-16,"Last observed without lamb and noted as heavily pregnant on June 3, 2021. Lamb estimate at ~1 week old confirmed June 16, 2021: Location Mount Norquay ",2021-05-25,2021-06-24
"10","B22-2021",0.833333333333333,0.0516039051603905,0.147315703326405,2021-06-04 13:00:00,595040,5673140,"B22",2021,2021-06-03,2021-06-10,"Last observed without lamb and noted as heavily pregnant on June 3, 2021. Lamb estimate at <1 week old confirmed June 10, 2022: Location Mount Norquay, Note B22's collar was originally that of B07 in 2019 (redeployed Oct 19, 2020after B07 killed by a cougar). ",2021-05-22,2021-06-21
"11","B26-2021",0.958333333333333,0.125698324022346,0.254828082438657,2021-07-02 15:00:00,591985,5682733,"B26",2021,2021-06-27,2021-07-15,"Last observed without lamb and noted as heavily pregnant on June 21, 2021. Lamb confirmed August 9, 2021, suspected lambing location (moderate level of confidence): west slopes Mount Brewster - cluster around July 4, 2021",2021-06-21,2021-07-21
"12","B51-2022",1,0.0430906389301634,0.161743810979227,2022-05-31 14:00:00,596300.74,5672640.16,"B51",2022,2022-05-16,2022-06-08,"",2022-05-12,2022-06-11
"13","B60-2022",0.5,0.0263522884882108,0.0791423048953826,2022-06-05 02:00:00,594938.92,5676704.3,"B60",2022,NA,NA,"had a very late lamb. Between June 13 and August 17. Now dead. ",NA,NA
